,categoryNode,categoryPath,customerRating,itemId,largeImage,mediumImage,name,numReviews,parentItemId,salePrice,thumbnailImage,upc
0,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,4.667,322570741,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Pavilion 15-cs0051wm 15.6 Touchscreen Laptop, Windows 10 Home, Intel Core i5-8250U Processor, 8GB SDRAM Memory, 16GB Intel®Optane Memory, 1TB Hard Drive, Pale Gold",3,322570741,639.0,https://i5.walmartimages.com/asr/a5ec9c67-9a09-4358-b9b7-e5632a163efa_2.e944bb177c3c721783546e9f579075fb.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545383455
1,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,4.467,822597407,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Pavilion 15-br082wm X360 15.6"" Touchscreen 2 in 1 Laptop, Windows 10, Intel Corei5-7200U Processor, 8GB Memory, 1TB Hard Drive, and Active Pen Included, Silk Gold",31,822597407,499.0,https://i5.walmartimages.com/asr/c9095299-7506-4645-bb8e-e4737741733b_2.4072d3c1567b43730486fa9076188734.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192018968349
2,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,3.857,55499365,https://i5.walmartimages.com/asr/45426f9d-8ac4-4e93-8654-666ff82cc52e_1.761d25430eaf824d4255935ac8d1edab.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/45426f9d-8ac4-4e93-8654-666ff82cc52e_1.761d25430eaf824d4255935ac8d1edab.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"SAMSUNG Chromebook Plus 12.3""Chrome OS 32GB eMMC - XE513C24-K01US",56,55499365,429.95,https://i5.walmartimages.com/asr/45426f9d-8ac4-4e93-8654-666ff82cc52e_1.761d25430eaf824d4255935ac8d1edab.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,887276183961
3,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,4.714,700792078,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-da053wm 15.6"" Touch Laptop, Windows 10 Home, Intel Core i5-8250U Processor, 4GB SDRAM Memory, 16GB IntelOptane Memory, 1TB Hard Drive, DVD, Natural Silver",14,700792078,559.0,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545383752
4,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Google Chromebook,4.348,55009828,https://i5.walmartimages.com/asr/c0ab938b-41f5-442e-9519-b8c2a9e0b4a0_2.8be976ba01ed83ca0c6011075bfaaab9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/c0ab938b-41f5-442e-9519-b8c2a9e0b4a0_2.8be976ba01ed83ca0c6011075bfaaab9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Acer 15.6"" Chromebook CB5-571-C4G4, Intel Celeron, 4GB Memory, 16GB Storage, Chrome OS - White",21,55009828,179.0,https://i5.walmartimages.com/asr/c0ab938b-41f5-442e-9519-b8c2a9e0b4a0_2.8be976ba01ed83ca0c6011075bfaaab9.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,888863275496
5,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.551,55731619,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Lenovo ideapad 320 15.6"" Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive",139,55731619,319.99,https://i5.walmartimages.com/asr/351418ea-2da6-4e89-bcf0-3b59d85dea4d_1.2d261da7177c7653c27785d84c8729d3.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191545914829
6,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/Lenovo Laptops,1.667,499099611,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Lenovo ideapad 330 15.6"" Laptop, Windows 10, Intel Core i3-8130U Dual-Core Processor, 4GB RAM, 1TB Hard Drive - Onyx Black",3,499099611,349.0,https://i5.walmartimages.com/asr/87722254-96e9-4513-b846-bc1cde313c4e_2.3cf1137e17ff3cd49c5088ff3f9d27d2.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192563997221
7,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,4.182,937522935,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Jaguar 15-bs060wm, 15.6"" Touch Natural Silver Laptop, Windows 10, Intel Core i3-7100U Processor, 8GB Memory, 1TB Hard Drive",22,937522935,442.99,https://i5.walmartimages.com/asr/58dcb872-b0d2-41cb-b881-d7e1955b5d73_2.35ec7d896ec114ddd43c56e61a663784.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,190781885658
8,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/Touchscreen Laptops,0.0,179807165,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-da0033wm 15.6"" Touch Laptop, Windows 10 Home, Intel Core i3-8130U processor, 4GB SDRAM Memory, 16GB IntelOptane Memory, 1TB Hard Drive, DVD, Natural Silver",0,179807165,469.0,https://i5.walmartimages.com/asr/730c7807-89f9-4c05-808e-1e71bf4bab45_1.363f9f5fe9f9b9bad01458c58a02e44d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545382540
9,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,4.061,54518466,https://i5.walmartimages.com/asr/f3077845-8786-4bfa-ba98-482f06af91a2_1.2bdade6ddc986cbd875304164a98aa06.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/f3077845-8786-4bfa-ba98-482f06af91a2_1.2bdade6ddc986cbd875304164a98aa06.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Acer CB3-532-C47C 15.6"" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage",198,54518466,169.0,https://i5.walmartimages.com/asr/f3077845-8786-4bfa-ba98-482f06af91a2_1.2bdade6ddc986cbd875304164a98aa06.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,888863811427
10,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,3.793,197424692,https://i5.walmartimages.com/asr/2516ed33-ca9e-4818-b8b1-04809ffeecfa_2.bb550d731642abebd894134a43019429.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/2516ed33-ca9e-4818-b8b1-04809ffeecfa_2.bb550d731642abebd894134a43019429.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",29,197424692,212.98,https://i5.walmartimages.com/asr/2516ed33-ca9e-4818-b8b1-04809ffeecfa_2.bb550d731642abebd894134a43019429.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,191628693696
11,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/Lenovo Laptops,4.667,384707570,https://i5.walmartimages.com/asr/1ff89e48-f337-4db0-8e79-0cb9241e53fc_1.adadeddcebd391cd77674b51115f0c94.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/1ff89e48-f337-4db0-8e79-0cb9241e53fc_1.adadeddcebd391cd77674b51115f0c94.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"Lenovo ideapad 330 15.6"" Laptop, Windows 10, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 1TB Hard Drive - Plum Purple",3,384707570,249.0,https://i5.walmartimages.com/asr/1ff89e48-f337-4db0-8e79-0cb9241e53fc_1.adadeddcebd391cd77674b51115f0c94.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192651208383
12,3944_3951_1089430,Electronics/Computers/Laptops/Laptops By Brand/HP Laptops,4.294,970503627,https://i5.walmartimages.com/asr/d8875b3b-df0c-49e4-91bc-b96817bf4e82_1.9b746acaf7106dca9c06bb25130da5ac.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/d8875b3b-df0c-49e4-91bc-b96817bf4e82_1.9b746acaf7106dca9c06bb25130da5ac.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-da0032wm 15.6"" Laptop, Windows 10 Home, Intel Core i3-8130U processor, 4GB SDRAM Memory, 16GB IntelOptane Memory, 1TB Hard Drive, DVD, Natural Silver",17,970503627,429.0,https://i5.walmartimages.com/asr/d8875b3b-df0c-49e4-91bc-b96817bf4e82_1.9b746acaf7106dca9c06bb25130da5ac.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,192545382533
13,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,2.4,56123850,https://i5.walmartimages.com/asr/0454332e-4163-48b1-bbe3-54c349f3820a_2.8a482b46b37c5b7d4e89746f288fc487.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/0454332e-4163-48b1-bbe3-54c349f3820a_2.8a482b46b37c5b7d4e89746f288fc487.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"iView MAXIMUS III - 11.6"" Convertible Touchscreen Laptop (2 in 1) with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, 2MP Front Camera, 2MP Rear Camera, 10 hour battery - Blue",5,56123850,129.0,https://i5.walmartimages.com/asr/0454332e-4163-48b1-bbe3-54c349f3820a_2.8a482b46b37c5b7d4e89746f288fc487.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,880010013548
14,3944_3951_1089430,Electronics/Computers/Laptops/Shop Laptops by Type/All Laptop Computers,4.051,51397788,https://i5.walmartimages.com/asr/1dd6dabb-35e2-4db3-8ae5-d734f1c5cd57_1.60464bb6664d436db3db84ddbaa30de3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/1dd6dabb-35e2-4db3-8ae5-d734f1c5cd57_1.60464bb6664d436db3db84ddbaa30de3.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,"HP 15-ay039wm 15.6"" Silver Fusion Laptop, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive",294,51397788,446.0,https://i5.walmartimages.com/asr/1dd6dabb-35e2-4db3-8ae5-d734f1c5cd57_1.60464bb6664d436db3db84ddbaa30de3.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,889899806517
